date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:35	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://babanaharbiotech.com/robots.txt		(from )
20:50:35	106457/106457	---MCZ	200	added ('OK')	text/html	etag:33c6c1fb7b7970f9d0929d61096d69f6	https://babanaharbiotech.com/	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/index.html	(from )
20:50:36	453/453	---MCZ	200	added ('OK')	application/manifest+json	etag:82b8fd6624937f2033495d509e898595	https://babanaharbiotech.com/manifest.webmanifest	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/manifest.webmanifest	(from https://babanaharbiotech.com/)
20:50:36	25592/25592	---M--	200	added ('OK')	image/jpeg	etag:2644791462	https://img1.wsimg.com/isteam/ip/34542978-e21c-4c02-aaed-0391ab4eee8d/WhatsApp%20Image%202022-10-31%20at%2011.07.55%20PM.png	C:/My%20Web%20Sites/webmy/img1.wsimg.com/isteam/ip/34542978-e21c-4c02-aaed-0391ab4eee8d/WhatsApp%20Image%202022-10-31%20at%2011.07.55%20PM.jpg	(from https://babanaharbiotech.com/)
20:50:36	32936/32936	---MCZ	200	added ('OK')	application/javascript	etag:e0d3bb9273e3303ee22424aa1a5b4ebf	https://babanaharbiotech.com/sw.js	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/sw.js	(from https://babanaharbiotech.com/)
20:50:36	93816/93816	---MCZ	200	added ('OK')	text/html	etag:a67c1b2ebe28baea4fd6f05ea33956cc	https://babanaharbiotech.com/services	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/services.html	(from https://babanaharbiotech.com/)
20:50:37	79560/79560	---MCZ	200	added ('OK')	text/html	etag:d0f835c6c78b88a1528cba4e395403b5	https://babanaharbiotech.com/contact-us	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/contact-us.html	(from https://babanaharbiotech.com/)
20:50:37	74163/74163	---MCZ	200	added ('OK')	text/html	etag:dba4315321e1b752f71f6e2f096d51bd	https://babanaharbiotech.com/products	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/products.html	(from https://babanaharbiotech.com/)
20:50:37	40/40	---M--	302	error ('Found')	text/plain	date:Tue,%2004%20Apr%202023%2015:20:37%20GMT	https://babanaharbiotech.com/m/account	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/account	(from https://babanaharbiotech.com/)
20:50:37	71545/71545	---MCZ	200	added ('OK')	text/html	etag:44f86a741d9572546d6150357c94b94e	https://babanaharbiotech.com/m/login?r=%2Fm%2Faccount	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/logina8b9.html	(from https://babanaharbiotech.com/)
20:50:38	73137/73137	---MCZ	200	added ('OK')	text/html	etag:e8e15c417151cf25e73d07239773ea56	https://babanaharbiotech.com/m/create-account	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/create-account.html	(from https://babanaharbiotech.com/)
20:50:38	41/41	---M--	302	error ('Found')	text/plain	date:Tue,%2004%20Apr%202023%2015:20:37%20GMT	https://babanaharbiotech.com/m/bookings	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/bookings	(from https://babanaharbiotech.com/)
20:50:38	71545/71545	---MCZ	200	added ('OK')	text/html	etag:44f86a741d9572546d6150357c94b94e	https://babanaharbiotech.com/m/login?r=%2Fm%2Fbookings	C:/My%20Web%20Sites/webmy/babanaharbiotech.com/m/login55d2.html	(from https://babanaharbiotech.com/)
20:50:38	328683/328683	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-IN	C:/My%20Web%20Sites/webmy/img1.wsimg.com/poly/v3/polyfill.min6ee5.js	(from https://babanaharbiotech.com/)
20:50:40	60978/60978	---M-Z	200	added ('OK')	application/javascript	etag:%226b4a5dadf03fc7d76d0670dcac1daa4c%22	http://img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/bfc3a97952f0e9c2/script.js	C:/My%20Web%20Sites/webmy/img1.wsimg.com/blobby/go/34542978-e21c-4c02-aaed-0391ab4eee8d/gpub/bfc3a97952f0e9c2/script.js	(from https://babanaharbiotech.com/)
20:50:41	109538/109538	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2004%20Apr%202023%2015:20:39%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/webmy/connect.facebook.net/en_US/fbevents.js	(from https://babanaharbiotech.com/)
